"x","v(lever->press)"
0,-1.0
1,-0.9280000000000002
2,-0.8583999999999999
3,-0.7773999999999998
4,-0.69376
5,-0.5833119999999998
6,-0.5041239999999998
7,-0.41049219999999975
8,-0.3469120599999998
9,-0.23024079399999992
10,-0.1298725006
11,-0.01046915793999994
12,0.10928901872000002
13,0.21897828511400008
14,0.325807111568
15,0.41074765776919997
16,0.50751979303574
17,0.5843634095586799
18,0.6933795668133859
19,0.7862817059319437
20,0.8740755974444094
21,0.9501078921010507
22,1.0234919173297843
23,1.0987177018173042
24,1.172885175752699
25,1.2421487820474066
26,1.30304975677977
27,1.355395184701359
28,1.4013229704080736
29,1.4496461792873043
30,1.4964616575499223
31,1.5342444310898835
32,1.5708513340574097
33,1.602889918647162
34,1.6350393100645413
35,1.6643609083017055
36,1.691606872160578
37,1.7158613940182272
38,1.7408690744554283
39,1.7621007096187546
40,1.7823339725446126
41,1.8010385371661828
42,1.8177764948558408
43,1.8347584690538943
44,1.8489246317852368
45,1.8626911259186474
46,1.875735106684082
47,1.885230638118881
48,1.8954247841365182
49,1.9041011402851102
50,1.9130701198498306
51,1.9210771614867335
52,1.9279018163231318
53,1.9341016523721035
54,1.9403231399758007
55,1.9457315911841042
56,1.9505787632921225
57,1.9547165626496024
58,1.9585403937247623
59,1.9620989001715168
